Overzicht postcodes België,,,,
Postcode,Gemeente,Postcode Hoofdgemeente,Hoofdgemeente,Provincie
1000,Brussel,1000,Brussel,Brussels Hoofdstedelijk gewest
1020,Laken (Bru.),1000,Brussel,Brussels Hoofdstedelijk gewest
1030,Schaarbeek,1030,Schaarbeek,Brussels Hoofdstedelijk gewest
1040,Etterbeek,1040,Etterbeek,Brussels Hoofdstedelijk gewest
1050,Elsene,1050,Elsene,Brussels Hoofdstedelijk gewest
1060,Sint-Gillis,1060,Sint-Gillis,Brussels Hoofdstedelijk gewest
1070,Anderlecht,1070,Anderlecht,Brussels Hoofdstedelijk gewest
1080,Sint-Jans-Molenbeek,1080,Sint-Jans-Molenbeek,Brussels Hoofdstedelijk gewest
1081,Koekelberg,1081,Koekelberg,Brussels Hoofdstedelijk gewest
1082,Sint-Agatha-Berchem,1082,Sint-Agatha-Berchem,Brussels Hoofdstedelijk gewest
1083,Ganshoren,1083,Ganshoren,Brussels Hoofdstedelijk gewest
1090,Jette,1090,Jette,Brussels Hoofdstedelijk gewest
1120,Neder-over-Heembeek (Bru.),1000,Brussel,Brussels Hoofdstedelijk gewest
1130,Haren (Bru.),1000,Brussel,Brussels Hoofdstedelijk gewest
1140,Evere,1140,Evere,Brussels Hoofdstedelijk gewest
1150,Sint-Pieters-Woluwe,1150,Sint-Pieters-Woluwe,Brussels Hoofdstedelijk gewest
1160,Oudergem,1160,Oudergem,Brussels Hoofdstedelijk gewest
1170,Watermaal-Bosvoorde,1170,Watermaal-Bosvoorde,Brussels Hoofdstedelijk gewest
1180,Ukkel,1180,Ukkel,Brussels Hoofdstedelijk gewest
1190,Vorst,1190,Vorst,Brussels Hoofdstedelijk gewest
1200,Sint-Lambrechts-Woluwe,1200,Sint-Lambrechts-Woluwe,Brussels Hoofdstedelijk gewest
1210,Sint-Joost-ten-Node,1210,Sint-Joost-ten-Node,Brussels Hoofdstedelijk gewest
1300,Limal,1300,Wavre,Waals Brabant
1300,Wavre,1300,Wavre,Waals Brabant
1301,Bierges,1300,Wavre,Waals Brabant
1310,La Hulpe,1310,La Hulpe,Waals Brabant
1315,Glimes,1315,Incourt,Waals Brabant
1315,Incourt,1315,Incourt,Waals Brabant
1315,Opprebais,1315,Incourt,Waals Brabant
1315,Piétrebais,1315,Incourt,Waals Brabant
1315,Roux-Miroir,1315,Incourt,Waals Brabant
1320,Beauvechain,1320,Beauvechain,Waals Brabant
1320,Hamme-Mille,1320,Beauvechain,Waals Brabant
1320,l'Ecluse,1320,Beauvechain,Waals Brabant
1320,Nodebais,1320,Beauvechain,Waals Brabant
1320,Tourinnes-la-Grosse,1320,Beauvechain,Waals Brabant
1325,Bonlez,1325,Chaumont-Gistoux,Waals Brabant
1325,Chaumont-Gistoux,1325,Chaumont-Gistoux,Waals Brabant
1325,Corroy-le-Grand,1325,Chaumont-Gistoux,Waals Brabant
1325,Dion-Valmont,1325,Chaumont-Gistoux,Waals Brabant
1325,Longueville,1325,Chaumont-Gistoux,Waals Brabant
1330,Rixensart,1330,Rixensart,Waals Brabant
1331,Rosières,1330,Rixensart,Waals Brabant
1332,Genval,1330,Rixensart,Waals Brabant
1340,Ottignies,1340,Ottignies-Louvain-la-Neuve,Waals Brabant
1340,Ottignies-Louvain-la-Neuve,1340,Ottignies-Louvain-la-Neuve,Waals Brabant
1341,Céroux-Mousty,1340,Ottignies-Louvain-la-Neuve,Waals Brabant
1342,Limelette,1340,Ottignies-Louvain-la-Neuve,Waals Brabant
1348,Louvain-la-Neuve,1340,Ottignies-Louvain-la-Neuve,Waals Brabant
1350,Enines,1350,Orp-Jauche,Waals Brabant
1350,Folx-les-Caves,1350,Orp-Jauche,Waals Brabant
1350,Jandrain-Jandrenouille,1350,Orp-Jauche,Waals Brabant
1350,Jauche,1350,Orp-Jauche,Waals Brabant
1350,Marilles,1350,Orp-Jauche,Waals Brabant
1350,Noduwez,1350,Orp-Jauche,Waals Brabant
