Roodlichtcamera's,,,,,,,
Provincie,Gemeente,Nr_1e_Weg,Kmpt_1ste_weg,Straatnaam_1e_weg,Nr_2e_Weg,Straatnaam_2e_weg,Aantal flitspalen
Antwerpen,Aartselaar,A12,27.32,Boomsesteenweg,,Langlaarssteenweg / Bist,2
Antwerpen,Aartselaar,A12,28.32,Boomsesteenweg,,Leugstraat / Vluchtenburgstraat,2
Antwerpen,Aartselaar,A12,28.85,Antwerpsesteenweg,,Guido Gezellestraat / Helstraat,2
Antwerpen,Aartselaar,A12,29.38,Antwerpsesteenweg,,Cleydaallaan,2
Antwerpen,Antwerpen,N1,36.7,Grote Steenweg,,Lysensstraat,2
Antwerpen,Antwerpen,N1,37.2,Grote Steenweg,,Jan Moorkensstraat,3
Antwerpen,Antwerpen,N1,37.6,Grote Steenweg,,Koninklijkelaan,2
Antwerpen,Antwerpen,N1,37.7,Grote Steenweg,N173,oprit R1,2
Antwerpen,Antwerpen,N1,41.25,Frankrijklei,,De Keyserlei / Teniersplaats,2
Antwerpen,Antwerpen,N1,41.7,Italiëlei,,Van Boendalestraat / Violierstraat,2
Antwerpen,Antwerpen,N1,42,Italielei,,Paardemarkt,2
Antwerpen,Antwerpen,N1,42.25,Italiëlei,,Tunnelplaats ( Ankerrui / Cassierslaan ),2
Antwerpen,Antwerpen,N1,42.35,Italiëlei,,Koeikensgracht / Van Aerdtstraat,2
Antwerpen,Antwerpen,N1,42.7,Italliëlei / Noorderlaan,,Ellermansstraat / Londonstraat,2
Antwerpen,Antwerpen,N1,43.6,Noorderlaan / Ijzerlaan,N180,Noorderlaan,2
Antwerpen,Antwerpen,N1,47,Bredabaan,,Rerum Novarumlaan / Begonialei,2
Antwerpen,Antwerpen,N1,47.3,Bredabaan,,Ringlaan / Merksemheidelaan,4
Antwerpen,Antwerpen,N1,48.03,Bredabaan,,Horstebaan / Fortsteenweg,1
Antwerpen,Antwerpen,N120,0.2,Bisschoppenhoflaan,N129,Raoul Gregoireplein (Schijnpoortweg),3
Antwerpen,Antwerpen,N120,1.3,Bischoppenhoflaan,N130,Merksemsesteenweg / Lakborslei,5
Antwerpen,Antwerpen,N129,0,Groenendaallaan,N1,Ing.Menneslaan,4
Antwerpen,Antwerpen,N129,1.9,Groenendaallaan,,Lambrechsthoekenlaan,2
Antwerpen,Antwerpen,N155,0.5,Generaal Lemanstraat,N177,Jan Van Rijswijcklaan,3
Antwerpen,Antwerpen,N155,1,Generaal Lemanstraat,R10,,1
Antwerpen,Antwerpen,N177,1.1,Jan Van Rijswijcklaan,R10,Singel,3
Antwerpen,Antwerpen,N177,1.7,Jan Van Rijswijcklaan,,Vogelzanglaan,2
Antwerpen,Antwerpen,N180,1,Noorderlaan,N129,Groenendaallaan,6
Antwerpen,Antwerpen,N180,2.14,Noorderlaan,,Manchesterlaan,4
Antwerpen,Antwerpen,N180,2.82,Noorderlaan,,Havanastraat / Korte Wielenstraat,4
Antwerpen,Antwerpen,N180,4.43,Noorderlaan,,Luithagen / Haven,3
Antwerpen,Antwerpen,N184,0.7,Plantin en Moretuslei / Van Eycklei,,Quinten Matsijslei / Charlottalei,2
