Snelheidscamera's met lus,,,,,
Provincie,Gemeente,Nr weg,Straatnaam,kmpt,Wegnr/ Richting
Antwerpen,Antwerpen,E19,,36.9,E19 richting Antwerpen
Antwerpen,Antwerpen,N120,Bisschoppenhoflaan,0.95,N120 richting Wijnegem
Antwerpen,Antwerpen,N120,Bisschoppenhoflaan,1.1,N120 richting Antwerpen centrum
Antwerpen,Antwerpen,N120,Bisschoppenhoflaan,2.3,N120 richting Antwerpen centrum
Antwerpen,Antwerpen,N120,Bisschoppenhoflaan,2.21,N120 richting Wijnegem
Antwerpen,Antwerpen,N173,Elisabethlaan,0.7,N173 richting Wilrijk
Antwerpen,Antwerpen,N173,Elisabethlaan,0.7,N173 richting Antwerpen
Antwerpen,Antwerpen,N177,Jan van Rijswijcklaan,2.25,N177 richting Boom
Antwerpen,Antwerpen,N177,Jan van Rijswijcklaan,2.04,N177 richting Antwerpen centrum
Antwerpen,Antwerpen,N180,Noorderlaan,0.4,N180 richting Haven
Antwerpen,Antwerpen,N180,Noorderlaan,0.725,N180 richting Antwerpen Centrum
Antwerpen,Antwerpen,N184,,0.3,N184 richitng centrum
Antwerpen,Antwerpen,N184,Plantin en Moretuslei,0.05,Uitrit Gasthuistunnel
Antwerpen,Antwerpen,R1,,8.3,R1 buitenring middenberm
Antwerpen,Antwerpen,R1,,5.95,R1 buitenring middenberm
Antwerpen,Antwerpen,R1,,8.3,R1 buitenring zijberm
Antwerpen,Antwerpen,R1,,5.95,R1 buitenring zijberm
Antwerpen,Antwerpen,R1,Inrit Kennedytunnel LO  middenberm,14.33,R1 richting Breda
Antwerpen,Antwerpen,R1,Inrit Kennedytunnel LO zijberm,14.33,R1 richting Breda
Antwerpen,Antwerpen,R1,Inrit Kennedytunnel RO middenberm,13.43,R1 richting Gent
Antwerpen,Antwerpen,R1,Inrit Kennedytunnel RO zijberm,13.43,R1 richting Gent
Antwerpen,Antwerpen,R1.151,St-Anna-bocht,16.65,R1.151 richting Zelzalte/Linkeroever
Antwerpen,Antwerpen,R10,Binnensingel,6.3,R10 richting Noord
Antwerpen,Antwerpen,R10,Binnensingel,4.8,R10 richting Zuid
Antwerpen,Antwerpen,R10,Binnensingel,6.3,R10 richting Zuid
Antwerpen,Antwerpen,R10,Binnensingel,4.1,R10 richting Noord
Antwerpen,Antwerpen,R10,Binnensingel,4.1,R10 richting Zuid
Antwerpen,Antwerpen,R2,Liefkenshoektunnel,12,R2 richting Brugge
Antwerpen,Antwerpen,R2,Liefkenshoektunnel,12,R2 richting Rotterdam
Antwerpen,Antwerpen,R2.223,Indaverbocht,0.82,R2.223 richting Antwerpen
Antwerpen,Beerse,N12,thv VITO,33.2,richting Antwerpen
Antwerpen,Beerse,N12,thv VITO,33.15,richting Turnhout
Antwerpen,Geel,N174,Winkelomseheide,1.5,N174 richting Geel
Antwerpen,Geel,N174,Winkelomseheide,1,N174 richting Laakdal
Antwerpen,Herselt,N152,,12.5,N152 richting Herselt
Antwerpen,Hoogstraten,N144,Loenhoutseweg,0.79,N144 richting Hoogstraten
Antwerpen,Lier,N10,Aarschotsesteenweg,13.2,N10 richting Lier
Antwerpen,Lier,R16,,3.4,R16 richting buitenring
Antwerpen,Lier,R16,,3.6,R16 richting binnenring
Antwerpen,Mechelen,R12,Zandpoortvest,2.8,R12 richting buitenring
Antwerpen,Mechelen,R12,Zandpoortvest,2.85,R12 richting binnenring
Antwerpen,Mechelen,R6,,1.6,R6 richting Sint-Katelijne-Waver
Antwerpen,Mol,N18,,18.6,N18 richting Mol
Antwerpen,Mol,N18,,19.2,N18 richting Dessel
Antwerpen,Mortsel,R11,Krijgsbaan / Stockmanslei,6.29,R11 richting Borsbeek
Antwerpen,Mortsel,R11,Krijgsbaan / Stockmanslei,6.25,R11 richting Wilrijk
Antwerpen,Nijlen,N13,,10.5,N13 richting Nijlen
Antwerpen,Rumst,E19,,22.9,E19 richting Antwerpen
Antwerpen,Schoten,N115,Brechtsebaan,6.17,N115 richting Brecht
Antwerpen,Schoten,N115,Kopstraat,3.4,N115 richting Antwerpen
Antwerpen,Schoten,N115,Ridder Walter van Havrelaan / Kopstraat,3.22,N115 richting Brecht
Antwerpen,Turnhout,N19,Steenweg op Diest,2.5,N19 richting Turnhout
Antwerpen,Vosslaar,N12,Antwerpsesteenweg,38.28,N12 richting Turnhout
Antwerpen,Wilrijk,A12,Bevrijdingstunnel,34.1,A12 richting Brussel
Antwerpen,Wilrijk,E19,Ingang Craeybeckxtunnel,32.65,E19 richting Antwerpen
Antwerpen,Wilrijk,E19,Ingang Craeybeckxtunnel,32.65,E19 richting Brussel
Limburg,Hasselt,N2,Diestersteenweg,66.3,N2 richting Hasselt
Limburg,Hasselt,N2,Diestersteenweg,66.3,N2 richting Diest
Limburg,Hasselt,N2,Kuringersteenweg,68.5,N2 richting Hasselt
Limburg,Hasselt,N2,Kuringersteenweg,68.5,N2 richting Diest
Limburg,Hasselt,N20,Luikersteenweg,5.6,N20 richting Hasselt
Limburg,Hasselt,N20,Luikersteenweg,5.3,N20 richting Tongeren
Limburg,Hasselt,R70,Kleine Ring / Martelarenlaan,0.15,
Limburg,Hasselt,R71,Gourverneur Roppesingel,1.26,R71 richting buitenring
